"","fecha","estacion","pm25","lat","lon"
"1",2024-01-01,"06_037_1103",15.96145825,34.06659,-118.22688
"2",2024-01-01,"06_037_1201",29.2,34.19925,-118.53276
"3",2024-01-01,"06_037_1302",33.3305556666667,33.901389,-118.205
"4",2024-01-01,"06_037_1602",17.1,34.01029,-118.0685
"5",2024-01-01,"06_037_2005",9.5,34.1326,-118.1272
"6",2024-01-01,"06_037_4008",34.7115943333333,33.859662,-118.200707
"7",2024-01-01,"06_037_4009",25.9020835,33.793713,-118.171019
"8",2024-01-01,"06_037_9035",3,34.725389,-118.178601
"9",2024-01-02,"06_037_1103",13.0125,34.06659,-118.22688
"10",2024-01-02,"06_037_1302",16.9152776666667,33.901389,-118.205
"11",2024-01-02,"06_037_4008",17.7811593333333,33.859662,-118.200707
"12",2024-01-02,"06_037_4009",12.1375,33.793713,-118.171019
"13",2024-01-02,"06_037_9035",5.225,34.725389,-118.178601
"14",2024-01-03,"06_037_1103",8.04166666666667,34.06659,-118.22688
"15",2024-01-03,"06_037_1302",10.0944443333333,33.901389,-118.205
"16",2024-01-03,"06_037_4008",12.5972223333333,33.859662,-118.200707
"17",2024-01-03,"06_037_4009",5.5145835,33.793713,-118.171019
"18",2024-01-03,"06_037_9035",1.302174,34.725389,-118.178601
"19",2024-01-04,"06_037_1103",6.075,34.06659,-118.22688
"20",2024-01-04,"06_037_1201",1.5,34.19925,-118.53276
"21",2024-01-04,"06_037_1302",8.29166666666667,33.901389,-118.205
"22",2024-01-04,"06_037_1602",6.9,34.01029,-118.0685
"23",2024-01-04,"06_037_2005",4.2,34.1326,-118.1272
"24",2024-01-04,"06_037_4008",10.2527776666667,33.859662,-118.200707
"25",2024-01-04,"06_037_4009",4.3020835,33.793713,-118.171019
"26",2024-01-04,"06_037_9035",0.7458335,34.725389,-118.178601
"27",2024-01-05,"06_037_1103",9.8625,34.06659,-118.22688
"28",2024-01-05,"06_037_1302",13.0097223333333,33.901389,-118.205
"29",2024-01-05,"06_037_4008",17.1694443333333,33.859662,-118.200707
"30",2024-01-05,"06_037_4009",9.6229165,33.793713,-118.171019
"31",2024-01-05,"06_037_9035",5.8375,34.725389,-118.178601
"32",2024-01-06,"06_037_1103",10.501389,34.06659,-118.22688
"33",2024-01-06,"06_037_1302",15.8958333333333,33.901389,-118.205
