"","GeoName","2024"
"1","United States",24897613
"2","United States",340110988
"3","United States",73204
"4","Alabama",295590.5
"5","Alabama",5157699
"6","Alabama",57311
"7","Alaska *",56423.1
"8","Alaska *",740133
"9","Alaska *",76234
"10","Arizona",498903.6
"11","Arizona",7582384
"12","Arizona",65798
"13","Arkansas",183201.8
"14","Arkansas",3088354
"15","Arkansas",59320
"16","California",3400237.3
"17","California",39431263
"18","California",86232
"19","Colorado",494798.6
"20","Colorado",5957493
"21","Colorado",83055
"22","Connecticut",349377.1
"23","Connecticut",3675069
"24","Connecticut",95067
"25","Delaware",71594.2
"26","Delaware",1051917
"27","Delaware",68061
"28","District of Columbia",78079.5
"29","District of Columbia",702250
"30","District of Columbia",111185
"31","Florida",1706305.7
"32","Florida",23372215
"33","Florida",73006
"34","Georgia",704463.9
"35","Georgia",11180878
"36","Georgia",63006
"37","Hawaii *",102703.8
"38","Hawaii *",1446146
"39","Hawaii *",71019
"40","Idaho",124746.7
"41","Idaho",2001619
"42","Idaho",62323
"43","Illinois",947182.8
"44","Illinois",12710158
"45","Illinois",74522
"46","Indiana",443688.8
"47","Indiana",6924275
"48","Indiana",64077
"49","Iowa",211425.4
"50","Iowa",3241488
"51","Iowa",65225
"52","Kansas",195633
"53","Kansas",2970606
"54","Kansas",65856
"55","Kentucky",267297.9
"56","Kentucky",4588372
"57","Kentucky",58256
"58","Louisiana",284587.2
"59","Louisiana",4597740
"60","Louisiana",61897
"61","Maine",96850.3
"62","Maine",1405012
"63","Maine",68932
"64","Maryland",496413.9
"65","Maryland",6263220
"66","Maryland",79259
"67","Massachusetts",667993
"68","Massachusetts",7136171
"69","Massachusetts",93607
"70","Michigan",645846.8
"71","Michigan",10140459
"72","Michigan",63690
"73","Minnesota",437981.9
"74","Minnesota",5793151
"75","Minnesota",75603
"76","Mississippi",153256.4
"77","Mississippi",2943045
"78","Mississippi",52074
"79","Missouri",405457.2
"80","Missouri",6245466
"81","Missouri",64920
"82","Montana",78741.6
"83","Montana",1137233
"84","Montana",69240
"85","Nebraska",145798.5
"86","Nebraska",2005465
"87","Nebraska",72701
"88","Nevada",228086.6
"89","Nevada",3267467
"90","Nevada",69805
"91","New Hampshire",117220.3
"92","New Hampshire",1409032
"93","New Hampshire",83192
"94","New Jersey",806558.7
"95","New Jersey",9500851
"96","New Jersey",84893
"97","New Mexico",124086.2
"98","New Mexico",2130256
"99","New Mexico",58249
"100","New York",1699680
"101","New York",19867248
"102","New York",85552
"103","North Carolina",724994.6
"104","North Carolina",11046024
"105","North Carolina",65634
"106","North Dakota",57153.4
"107","North Dakota",796568
"108","North Dakota",71749
"109","Ohio",766045.8
"110","Ohio",11883304
"111","Ohio",64464
"112","Oklahoma",260910.2
"113","Oklahoma",4095393
"114","Oklahoma",63708
"115","Oregon",302582.3
"116","Oregon",4272371
"117","Oregon",70823
"118","Pennsylvania",924379.6
"119","Pennsylvania",13078751
"120","Pennsylvania",70678
"121","Rhode Island",78553.7
"122","Rhode Island",1112308
"123","Rhode Island",70622
"124","South Carolina",332982.7
"125","South Carolina",5478831
"126","South Carolina",60776
"127","South Dakota",69996.3
"128","South Dakota",924669
"129","South Dakota",75699
"130","Tennessee",480671.2
"131","Tennessee",7227750
"132","Tennessee",66504
"133","Texas",2184833.3
"134","Texas",31290831
"135","Texas",69823
"136","Utah",235907.4
"137","Utah",3503613
"138","Utah",67333
"139","Vermont",46229.3
"140","Vermont",648493
"141","Vermont",71287
"142","Virginia",681552.2
